site,site_cwd,site_cwd_zscore
eldo_3k_1,678.4522985428184,0.31851116889988246
eldo_3k_2,706.4828356203163,0.5005431369299406
eldo_3k_3,654.5148550843488,0.16305999326574025
eldo_4k_1,570.4251229528217,-0.38302370783145817
eldo_4k_2,642.2041874794817,0.08311378867885753
eldo_4k_3,611.2238220203511,-0.118074539579866
eldo_5k_1,663.0940546400144,0.21877382332624537
eldo_5k_2,627.3805003908933,-0.013152113281461594
eldo_5k_3,598.6575323489149,-0.19968076900754425
sequ_4k_1,766.611763336142,0.8910239549530631
sequ_4k_2,754.7407140732734,0.8139326579177144
sequ_4k_3,815.604221295513,1.2091838787646354
sequ_5k_1,718.2377363088032,0.5768801582437736
sequ_5k_2,587.2594077134029,-0.2737008655015119
sequ_5k_3,611.326421192892,-0.11740825447643637
sequ_6k_1,730.5165361973318,0.6566194119932289
sequ_6k_2,689.5078946048195,0.3903068645495021
sequ_6k_3,602.6466858499517,-0.1737749698942382
sier_3k_1,763.5365865134725,0.8710535745239157
sier_3k_2,767.6440642967173,0.8977277785342277
sier_3k_3,772.9766243753248,0.9323577395322531
sier_4k_1,841.2511722616304,1.3757366974075766
sier_4k_2,764.381017997805,0.8765373625988503
sier_4k_3,688.3448312995833,0.38275386255705574
sier_5k_1,721.5877923729475,0.5986356207481569
sier_5k_2,709.9550571408197,0.5230919491437794
sier_5k_3,778.5298203521193,0.9684205231213688
stan_3k_1,638.4866040548137,0.05897158172658751
stan_3k_2,739.2277045684441,0.7131902553577584
stan_3k_3,761.6386257946261,0.8587281051995093
stan_4k_1,540.1567090897152,-0.5795885802567066
stan_4k_2,528.0721796304232,-0.658066230332061
stan_4k_3,606.3030020861687,-0.1500306356926246
stan_5k_1,523.5055240475621,-0.6877223621701837
stan_5k_2,523.9475441404252,-0.6848518575062793
stan_5k_3,653.4258132288983,0.15598769095249237
