forest,elev,rep,site,dead,live,total_trees,survivorship,mortality,site_area,density
eldo,3e3,1,eldo_3k_1,1934,7155,9089,0.7872153152161954,0.2127846847838046,392982.0318256477,231.28283900859034
eldo,3e3,2,eldo_3k_2,1301,7062,8363,0.8444338156164056,0.1555661843835944,388239.4693223408,215.40828949198135
eldo,3e3,3,eldo_3k_3,1352,4770,6122,0.779157138190134,0.22084286180986606,392309.65137185703,156.0502011253647
eldo,4e3,1,eldo_4k_1,938,7754,8692,0.8920846755637367,0.10791532443626323,359051.7772685698,242.0820770230698
eldo,4e3,2,eldo_4k_2,1104,4059,5163,0.7861708309122604,0.2138291690877397,363734.66987121245,141.94412652024795
eldo,4e3,3,eldo_4k_3,500,7207,7707,0.9351239133255482,0.0648760866744518,377250.0362557827,204.29421495865697
eldo,5e3,1,eldo_5k_1,1193,6643,7836,0.847753956100051,0.15224604389994895,363623.4476641603,215.49765424470831
eldo,5e3,2,eldo_5k_2,1417,8597,10014,0.8584981026562812,0.1415018973437188,381790.8823067067,262.2901819838481
eldo,5e3,3,eldo_5k_3,846,7848,8694,0.9026915113871635,0.09730848861283643,378519.5098319572,229.68432997970646
sequ,4e3,1,sequ_4k_1,4249,3407,7656,0.44501044932079414,0.5549895506792059,376682.3066483259,203.24819788118464
sequ,4e3,2,sequ_4k_2,6566,2949,9515,0.30993168681029953,0.6900683131897005,385459.80888116406,246.84804435560343
sequ,4e3,3,sequ_4k_3,5397,6192,11589,0.5342997670204505,0.4657002329795496,377821.11299499404,306.7324615115818
sequ,5e3,1,sequ_5k_1,3011,5037,8048,0.6258697813121272,0.3741302186878728,348698.9906113768,230.8007828152693
sequ,5e3,2,sequ_5k_2,2759,5753,8512,0.6758693609022557,0.32413063909774437,370528.2289427813,229.72608657340552
sequ,5e3,3,sequ_5k_3,4080,4413,8493,0.519604380077711,0.48039561992228896,394879.84778043267,215.0780812882204
sequ,6e3,1,sequ_6k_1,2797,5607,8404,0.6671822941456449,0.33281770585435505,358382.6820275151,234.49793813850573
sequ,6e3,2,sequ_6k_2,2700,5476,8176,0.6697651663405088,0.3302348336594912,171236.022714825,477.4696276154603
sequ,6e3,3,sequ_6k_3,2838,7311,10149,0.720366538575229,0.2796334614247709,347066.6718288391,292.4222007985003
sier,4e3,1,sier_4k_1,7168,5156,12324,0.418370658876988,0.581629341123012,387070.185615318,318.39186943341485
stan,3e3,1,stan_3k_1,1864,9570,11434,0.836977435718034,0.16302256428196607,395527.77638350986,289.08209948100875
stan,3e3,2,stan_3k_2,4195,7992,12187,0.6557807499794863,0.3442192500205137,355672.91731741116,342.6462743331122
stan,3e3,3,stan_3k_3,3045,11152,14197,0.7855180671972952,0.2144819328027048,382916.9761476142,370.75922156366
